code,sub_program_id,fund_segment,program_segment,event_segment,tafs,data_watermark
PA-97036-4332,SUB-PA-4332,PA,97036,4332,070-X-9801,SYNTHETIC-DEMO
PA-60101-4332,SUB-PA-4332,PA,60101,4332,070-X-9801,SYNTHETIC-DEMO
PA-60102-4332,SUB-PA-4332,PA,60102,4332,070-X-9801,SYNTHETIC-DEMO
PA-60103-4332,SUB-PA-4332,PA,60103,4332,070-X-9801,SYNTHETIC-DEMO
PA-97036-4337,SUB-PA-4337,PA,97036,4337,070-X-9801,SYNTHETIC-DEMO
PA-60101-4337,SUB-PA-4337,PA,60101,4337,070-X-9801,SYNTHETIC-DEMO
PA-60102-4337,SUB-PA-4337,PA,60102,4337,070-X-9801,SYNTHETIC-DEMO
PA-60103-4337,SUB-PA-4337,PA,60103,4337,070-X-9801,SYNTHETIC-DEMO
PA-97036-4338,SUB-PA-4338,PA,97036,4338,070-X-9801,SYNTHETIC-DEMO
PA-60101-4338,SUB-PA-4338,PA,60101,4338,070-X-9801,SYNTHETIC-DEMO
PA-60102-4338,SUB-PA-4338,PA,60102,4338,070-X-9801,SYNTHETIC-DEMO
PA-60103-4338,SUB-PA-4338,PA,60103,4338,070-X-9801,SYNTHETIC-DEMO
PA-97036-4339,SUB-PA-4339,PA,97036,4339,070-X-9801,SYNTHETIC-DEMO
PA-60101-4339,SUB-PA-4339,PA,60101,4339,070-X-9801,SYNTHETIC-DEMO
PA-60102-4339,SUB-PA-4339,PA,60102,4339,070-X-9801,SYNTHETIC-DEMO
PA-60103-4339,SUB-PA-4339,PA,60103,4339,070-X-9801,SYNTHETIC-DEMO
PA-97036-4340,SUB-PA-4340,PA,97036,4340,070-X-9801,SYNTHETIC-DEMO
PA-60101-4340,SUB-PA-4340,PA,60101,4340,070-X-9801,SYNTHETIC-DEMO
PA-60102-4340,SUB-PA-4340,PA,60102,4340,070-X-9801,SYNTHETIC-DEMO
PA-60103-4340,SUB-PA-4340,PA,60103,4340,070-X-9801,SYNTHETIC-DEMO
PA-97036-4341,SUB-PA-4341,PA,97036,4341,070-X-9801,SYNTHETIC-DEMO
PA-60101-4341,SUB-PA-4341,PA,60101,4341,070-X-9801,SYNTHETIC-DEMO
PA-60102-4341,SUB-PA-4341,PA,60102,4341,070-X-9801,SYNTHETIC-DEMO
PA-60103-4341,SUB-PA-4341,PA,60103,4341,070-X-9801,SYNTHETIC-DEMO
PA-97036-4346,SUB-PA-4346,PA,97036,4346,070-X-9801,SYNTHETIC-DEMO
PA-60101-4346,SUB-PA-4346,PA,60101,4346,070-X-9801,SYNTHETIC-DEMO
PA-60102-4346,SUB-PA-4346,PA,60102,4346,070-X-9801,SYNTHETIC-DEMO
PA-60103-4346,SUB-PA-4346,PA,60103,4346,070-X-9801,SYNTHETIC-DEMO
HM-97039-4332,SUB-HM-ALL,HM,97039,4332,070-X-9802,SYNTHETIC-DEMO
HM-97039-4337,SUB-HM-ALL,HM,97039,4337,070-X-9802,SYNTHETIC-DEMO
HM-97039-4339,SUB-HM-ALL,HM,97039,4339,070-X-9802,SYNTHETIC-DEMO
HM-97039-4340,SUB-HM-ALL,HM,97039,4340,070-X-9802,SYNTHETIC-DEMO
HM-60201-4332,SUB-HM-ALL,HM,60201,4332,070-X-9802,SYNTHETIC-DEMO
HM-60201-4337,SUB-HM-ALL,HM,60201,4337,070-X-9802,SYNTHETIC-DEMO
HM-60201-4339,SUB-HM-ALL,HM,60201,4339,070-X-9802,SYNTHETIC-DEMO
HM-60201-4340,SUB-HM-ALL,HM,60201,4340,070-X-9802,SYNTHETIC-DEMO
IA-61101-4339,SUB-IA-IHP,IA,61101,4339,070-X-9803,SYNTHETIC-DEMO
IA-61101-4340,SUB-IA-IHP,IA,61101,4340,070-X-9803,SYNTHETIC-DEMO
IA-61102-4339,SUB-IA-IHP,IA,61102,4339,070-X-9803,SYNTHETIC-DEMO
IA-61102-4340,SUB-IA-IHP,IA,61102,4340,070-X-9803,SYNTHETIC-DEMO
IA-61103-4332,SUB-IA-MC,IA,61103,4332,070-X-9803,SYNTHETIC-DEMO
IA-61103-4337,SUB-IA-MC,IA,61103,4337,070-X-9803,SYNTHETIC-DEMO
IA-61104-4339,SUB-IA-DCM,IA,61104,4339,070-X-9803,SYNTHETIC-DEMO
IA-55501-4339,SUB-IA-DCM,IA,55501,4339,070-X-9803,SYNTHETIC-DEMO
HS-97067-ND,SUB-HS-SHSP,HS,97067,ND,070-26/27-9804,SYNTHETIC-DEMO
HS-61501-ND,SUB-HS-SHSP,HS,61501,ND,070-26/27-9804,SYNTHETIC-DEMO
HS-61502-ND,SUB-HS-UASI,HS,61502,ND,070-26/27-9804,SYNTHETIC-DEMO
HS-61503-ND,SUB-HS-OPSG,HS,61503,ND,070-26/27-9804,SYNTHETIC-DEMO
HS-55501-ND,SUB-HS-OPSG,HS,55501,ND,070-26/27-9804,SYNTHETIC-DEMO
UR-97025-ND,SUB-UR-ALL,UR,97025,ND,070-26/26-9805,SYNTHETIC-DEMO
UR-61601-ND,SUB-UR-ALL,UR,61601,ND,070-26/26-9805,SYNTHETIC-DEMO
XR-88001-4339,,XR,88001,4339,,SYNTHETIC-DEMO
XR-88002-4340,,XR,88002,4340,,SYNTHETIC-DEMO
XR-88003-4339,,XR,88003,4339,,SYNTHETIC-DEMO
NC-88101-4332,,NC,88101,4332,,SYNTHETIC-DEMO
NC-88102-4337,,NC,88102,4337,,SYNTHETIC-DEMO
NC-88103-4346,,NC,88103,4346,,SYNTHETIC-DEMO
