summary_id,program_id,fiscal_year,total_disbursement,prior_year_disbursement,yoy_pct_change,transaction_count,prior_year_transaction_count,count_yoy_pct_change,trigger_flag,dollar_trigger_flag,count_trigger_flag,sub_program_count,financial_code_count,event_count,top_event_share_pct,exception_queue_count,data_watermark
FSS-PROG-PA-2022,PROG-PA,2022,620000000.00,,,109,,,false,false,false,7,28,7,56.0,0,SYNTHETIC-DEMO
FSS-PROG-PA-2023,PROG-PA,2023,675800000.00,620000000.00,9.0,118,109,8.3,false,false,false,7,28,7,56.0,0,SYNTHETIC-DEMO
FSS-PROG-PA-2024,PROG-PA,2024,770412000.00,675800000.00,14.0,134,118,13.6,false,false,false,7,28,7,56.0,0,SYNTHETIC-DEMO
FSS-PROG-PA-2025,PROG-PA,2025,816636720.00,770412000.00,6.0,142,134,6.0,false,false,false,7,28,7,56.0,0,SYNTHETIC-DEMO
FSS-PROG-PA-2026,PROG-PA,2026,1094293204.80,816636720.00,34.0,188,142,32.4,true,true,true,7,28,7,56.0,3,SYNTHETIC-DEMO
FSS-PROG-HM-2022,PROG-HM,2022,210000000.00,,,41,,,false,false,false,1,8,4,56.2,0,SYNTHETIC-DEMO
FSS-PROG-HM-2023,PROG-HM,2023,235200000.00,210000000.00,12.0,45,41,9.8,false,false,false,1,8,4,56.2,0,SYNTHETIC-DEMO
FSS-PROG-HM-2024,PROG-HM,2024,221088000.00,235200000.00,-6.0,42,45,-6.7,false,false,false,1,8,4,56.2,0,SYNTHETIC-DEMO
FSS-PROG-HM-2025,PROG-HM,2025,240985920.00,221088000.00,9.0,46,42,9.5,false,false,false,1,8,4,56.2,0,SYNTHETIC-DEMO
FSS-PROG-HM-2026,PROG-HM,2026,166280284.80,240985920.00,-31.0,33,46,-28.3,true,true,true,1,8,4,56.2,1,SYNTHETIC-DEMO
FSS-PROG-IA-2022,PROG-IA,2022,310000000.00,,,24,,,false,false,false,3,8,4,74.3,0,SYNTHETIC-DEMO
FSS-PROG-IA-2023,PROG-IA,2023,331700000.00,310000000.00,7.0,26,24,8.3,false,false,false,3,8,4,74.3,0,SYNTHETIC-DEMO
FSS-PROG-IA-2024,PROG-IA,2024,411308000.00,331700000.00,24.0,30,26,15.4,true,true,false,3,8,4,74.3,0,SYNTHETIC-DEMO
FSS-PROG-IA-2025,PROG-IA,2025,390742600.00,411308000.00,-5.0,32,30,6.7,false,false,false,3,8,4,74.3,0,SYNTHETIC-DEMO
FSS-PROG-IA-2026,PROG-IA,2026,422002008.00,390742600.00,8.0,44,32,37.5,true,false,true,3,8,4,74.3,2,SYNTHETIC-DEMO
FSS-PROG-HS-2022,PROG-HS,2022,260000000.00,,,49,,,false,false,false,3,5,0,0.0,0,SYNTHETIC-DEMO
FSS-PROG-HS-2023,PROG-HS,2023,332800000.00,260000000.00,28.0,61,49,24.5,true,true,true,3,5,0,0.0,0,SYNTHETIC-DEMO
FSS-PROG-HS-2024,PROG-HS,2024,349440000.00,332800000.00,5.0,64,61,4.9,false,false,false,3,5,0,0.0,0,SYNTHETIC-DEMO
FSS-PROG-HS-2025,PROG-HS,2025,387878400.00,349440000.00,11.0,70,64,9.4,false,false,false,3,5,0,0.0,0,SYNTHETIC-DEMO
FSS-PROG-HS-2026,PROG-HS,2026,469332864.00,387878400.00,21.0,84,70,20.0,true,true,true,3,5,0,0.0,0,SYNTHETIC-DEMO
FSS-PROG-UR-2022,PROG-UR,2022,38000000.00,,,12,,,false,false,false,1,2,0,0.0,0,SYNTHETIC-DEMO
FSS-PROG-UR-2023,PROG-UR,2023,39520000.00,38000000.00,4.0,12,12,0.0,false,false,false,1,2,0,0.0,0,SYNTHETIC-DEMO
FSS-PROG-UR-2024,PROG-UR,2024,42681600.00,39520000.00,8.0,13,12,8.3,false,false,false,1,2,0,0.0,0,SYNTHETIC-DEMO
FSS-PROG-UR-2025,PROG-UR,2025,33291648.00,42681600.00,-22.0,11,13,-15.4,true,true,false,1,2,0,0.0,0,SYNTHETIC-DEMO
FSS-PROG-UR-2026,PROG-UR,2026,39617061.12,33291648.00,19.0,12,11,9.1,false,false,false,1,2,0,0.0,0,SYNTHETIC-DEMO
