rule_id,rule_type,expression,confidence,status,data_watermark
BR-001,event_split,event_segment -> disaster_number (SRC-02),1.00,sme_confirmed,SYNTHETIC-DEMO
BR-002,cleansing,"normalize: strip_whitespace, uppercase, separators_to_hyphen",1.00,sme_confirmed,SYNTHETIC-DEMO
BR-003,cleansing,alias LEG-0001 -> PA-97036-4332 (legacy code retired after FY2023),0.97,sme_confirmed,SYNTHETIC-DEMO
BR-004,cleansing,alias LEG-0002 -> HM-97039-4340 (legacy code retired after FY2023),0.97,sme_confirmed,SYNTHETIC-DEMO
BR-005,cleansing,alias LEG-0003 -> DB-61401-4339 (legacy code retired after FY2023),0.97,sme_confirmed,SYNTHETIC-DEMO
BR-006,cleansing,alias LEG-0004 -> LG-62201-4340 (legacy code retired after FY2023),0.97,sme_confirmed,SYNTHETIC-DEMO
BR-007,code_to_subprogram,"fund_segment == 'PA' and program_segment == '97036' and event_segment in [4332, 4340] -> SUB-PA-A",0.98,sme_confirmed,SYNTHETIC-DEMO
BR-008,code_to_subprogram,"fund_segment == 'PA' and program_segment == '97036' and event_segment in [4337, 4338] -> SUB-PA-B",0.98,sme_confirmed,SYNTHETIC-DEMO
BR-009,code_to_subprogram,"fund_segment == 'PA' and program_segment == '97036' and event_segment in [4339, 4341, 4346] -> SUB-PA-C",0.98,sme_confirmed,SYNTHETIC-DEMO
BR-010,rollup,"['SUB-PA-A', 'SUB-PA-B', 'SUB-PA-C'] -> PROG-PA",0.98,sme_confirmed,SYNTHETIC-DEMO
BR-011,code_to_subprogram,"fund_segment == 'HM' and program_segment == '97039' and event_segment in [4340, 4339] -> SUB-HM-A",0.98,sme_confirmed,SYNTHETIC-DEMO
BR-012,code_to_subprogram,"fund_segment == 'HM' and program_segment == '97039' and event_segment in [4332, 4337] -> SUB-HM-B",0.98,sme_confirmed,SYNTHETIC-DEMO
BR-013,rollup,"['SUB-HM-A', 'SUB-HM-B'] -> PROG-HM",0.98,sme_confirmed,SYNTHETIC-DEMO
BR-014,code_to_subprogram,"fund_segment == 'DC' and program_segment in ['61101', '61102'] -> SUB-S01-A",0.98,sme_confirmed,SYNTHETIC-DEMO
BR-015,code_to_subprogram,fund_segment == 'DC' and program_segment in ['61103'] -> SUB-S01-B,0.98,sme_confirmed,SYNTHETIC-DEMO
BR-016,code_to_subprogram,fund_segment == 'DC' and program_segment in ['61104'] -> SUB-S01-C,0.98,sme_confirmed,SYNTHETIC-DEMO
BR-017,code_to_subprogram,"fund_segment == 'DC' and program_segment in ['61105', '61106'] -> SUB-S01-D",0.98,sme_confirmed,SYNTHETIC-DEMO
BR-018,rollup,"['SUB-S01-A', 'SUB-S01-B', 'SUB-S01-C', 'SUB-S01-D'] -> PROG-S01",0.98,sme_confirmed,SYNTHETIC-DEMO
BR-019,code_to_subprogram,fund_segment == 'CL' and program_segment in ['61201'] -> SUB-S02-A,0.98,sme_confirmed,SYNTHETIC-DEMO
BR-020,code_to_subprogram,"fund_segment == 'CL' and program_segment in ['61202', '61203'] -> SUB-S02-B",0.98,sme_confirmed,SYNTHETIC-DEMO
BR-021,code_to_subprogram,fund_segment == 'CL' and program_segment in ['61204'] -> SUB-S02-C,0.98,sme_confirmed,SYNTHETIC-DEMO
BR-022,rollup,"['SUB-S02-A', 'SUB-S02-B', 'SUB-S02-C'] -> PROG-S02",0.98,sme_confirmed,SYNTHETIC-DEMO
BR-023,code_to_subprogram,"fund_segment == 'SH' and program_segment in ['61301', '61302'] -> SUB-S03-A",0.98,sme_confirmed,SYNTHETIC-DEMO
BR-024,code_to_subprogram,fund_segment == 'SH' and program_segment in ['61303'] -> SUB-S03-B,0.98,sme_confirmed,SYNTHETIC-DEMO
BR-025,code_to_subprogram,fund_segment == 'SH' and program_segment in ['61304'] -> SUB-S03-C,0.98,sme_confirmed,SYNTHETIC-DEMO
