mapping_id,code,sub_program_id,program_id,fiscal_year,rule_id,confidence,status,data_watermark
MAP-PA-97036-4332-2022,PA-97036-4332,SUB-PA-4332,PROG-PA,2022,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4332-2023,PA-97036-4332,SUB-PA-4332,PROG-PA,2023,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4332-2024,PA-97036-4332,SUB-PA-4332,PROG-PA,2024,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4332-2025,PA-97036-4332,SUB-PA-4332,PROG-PA,2025,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4332-2026,PA-97036-4332,SUB-PA-4332,PROG-PA,2026,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4332-2022,PA-60101-4332,SUB-PA-4332,PROG-PA,2022,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4332-2023,PA-60101-4332,SUB-PA-4332,PROG-PA,2023,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4332-2024,PA-60101-4332,SUB-PA-4332,PROG-PA,2024,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4332-2025,PA-60101-4332,SUB-PA-4332,PROG-PA,2025,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60101-4332-2026,PA-60101-4332,SUB-PA-4332,PROG-PA,2026,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4332-2022,PA-60102-4332,SUB-PA-4332,PROG-PA,2022,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4332-2023,PA-60102-4332,SUB-PA-4332,PROG-PA,2023,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4332-2024,PA-60102-4332,SUB-PA-4332,PROG-PA,2024,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4332-2025,PA-60102-4332,SUB-PA-4332,PROG-PA,2025,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60102-4332-2026,PA-60102-4332,SUB-PA-4332,PROG-PA,2026,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4332-2022,PA-60103-4332,SUB-PA-4332,PROG-PA,2022,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4332-2023,PA-60103-4332,SUB-PA-4332,PROG-PA,2023,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4332-2024,PA-60103-4332,SUB-PA-4332,PROG-PA,2024,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4332-2025,PA-60103-4332,SUB-PA-4332,PROG-PA,2025,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-60103-4332-2026,PA-60103-4332,SUB-PA-4332,PROG-PA,2026,BR-007,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4337-2022,PA-97036-4337,SUB-PA-4337,PROG-PA,2022,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4337-2023,PA-97036-4337,SUB-PA-4337,PROG-PA,2023,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4337-2024,PA-97036-4337,SUB-PA-4337,PROG-PA,2024,BR-008,0.98,auto,SYNTHETIC-DEMO
MAP-PA-97036-4337-2025,PA-97036-4337,SUB-PA-4337,PROG-PA,2025,BR-008,0.98,auto,SYNTHETIC-DEMO
