response_id,question_id,program_id,fiscal_year,answer_value,confidence,populated_by,review_status,data_watermark
RSP-PROG-PA-2026-Q1,Q1,PROG-PA,2026,1094293204.80,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-PA-2026-Q2,Q2,PROG-PA,2026,+34.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-PA-2026-Q3,Q3,PROG-PA,2026,yes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-PA-2026-Q4,Q4,PROG-PA,2026,3 sub-programs; 7 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-PA-2026-Q5,Q5,PROG-PA,2026,7,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-PA-2026-Q6,Q6,PROG-PA,2026,56.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-PA-2026-Q7,Q7,PROG-PA,2026,0,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-PA-2026-Q8,Q8,PROG-PA,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-PA-2026-Q9,Q9,PROG-PA,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-PA-2026-Q10,Q10,PROG-PA,2026,,,human,draft,SYNTHETIC-DEMO
RSP-PROG-HM-2026-Q1,Q1,PROG-HM,2026,166280284.80,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-HM-2026-Q2,Q2,PROG-HM,2026,-31.0%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-HM-2026-Q3,Q3,PROG-HM,2026,yes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-HM-2026-Q4,Q4,PROG-HM,2026,2 sub-programs; 4 financial codes,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-HM-2026-Q5,Q5,PROG-HM,2026,4,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-HM-2026-Q6,Q6,PROG-HM,2026,56.2%,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-HM-2026-Q7,Q7,PROG-HM,2026,0,1.00,auto,draft,SYNTHETIC-DEMO
RSP-PROG-HM-2026-Q8,Q8,PROG-HM,2026,"FY2025: preliminary only, no trigger",0.90,auto,draft,SYNTHETIC-DEMO
RSP-PROG-HM-2026-Q9,Q9,PROG-HM,2026,,,human,draft,SYNTHETIC-DEMO
