summary_id,program_id,fiscal_year,disaster_number,total_disbursement,prior_year_disbursement,yoy_pct_change,trigger_flag,data_watermark
SS-PROG-PA-2022-4332,PROG-PA,2022,4332,33948051.12,,,false,SYNTHETIC-DEMO
SS-PROG-PA-2022-4337,PROG-PA,2022,4337,26644229.76,,,false,SYNTHETIC-DEMO
SS-PROG-PA-2022-4338,PROG-PA,2022,4338,1236727.80,,,false,SYNTHETIC-DEMO
SS-PROG-PA-2022-4339,PROG-PA,2022,4339,347470136.00,,,false,SYNTHETIC-DEMO
SS-PROG-PA-2022-4340,PROG-PA,2022,4340,210348941.24,,,false,SYNTHETIC-DEMO
SS-PROG-PA-2022-4341,PROG-PA,2022,4341,1263.60,,,false,SYNTHETIC-DEMO
SS-PROG-PA-2022-4346,PROG-PA,2022,4346,350650.48,,,false,SYNTHETIC-DEMO
SS-PROG-PA-2023-4332,PROG-PA,2023,4332,37003375.72,33948051.12,9.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2023-4337,PROG-PA,2023,4337,29042210.44,26644229.76,9.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2023-4338,PROG-PA,2023,4338,1348033.32,1236727.80,9.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2023-4339,PROG-PA,2023,4339,378742448.24,347470136.00,9.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2023-4340,PROG-PA,2023,4340,229280345.96,210348941.24,9.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2023-4341,PROG-PA,2023,4341,1377.28,1263.60,9.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2023-4346,PROG-PA,2023,4346,382209.04,350650.48,9.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2024-4332,PROG-PA,2024,4332,42183848.32,37003375.72,14.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2024-4337,PROG-PA,2024,4337,33108119.88,29042210.44,14.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2024-4338,PROG-PA,2024,4338,1536757.96,1348033.32,14.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2024-4339,PROG-PA,2024,4339,431766391.00,378742448.24,14.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2024-4340,PROG-PA,2024,4340,261379594.40,229280345.96,14.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2024-4341,PROG-PA,2024,4341,1570.12,1377.28,14.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2024-4346,PROG-PA,2024,4346,435718.32,382209.04,14.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2025-4332,PROG-PA,2025,4332,44714879.24,42183848.32,6.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2025-4337,PROG-PA,2025,4337,35094607.08,33108119.88,6.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2025-4338,PROG-PA,2025,4338,1628963.44,1536757.96,6.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2025-4339,PROG-PA,2025,4339,457672374.44,431766391.00,6.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2025-4340,PROG-PA,2025,4340,277062370.08,261379594.40,6.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2025-4341,PROG-PA,2025,4341,1664.32,1570.12,6.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2025-4346,PROG-PA,2025,4346,461861.40,435718.32,6.0,false,SYNTHETIC-DEMO
SS-PROG-PA-2026-4332,PROG-PA,2026,4332,59917938.20,44714879.24,34.0,true,SYNTHETIC-DEMO
SS-PROG-PA-2026-4337,PROG-PA,2026,4337,47026773.48,35094607.08,34.0,true,SYNTHETIC-DEMO
SS-PROG-PA-2026-4338,PROG-PA,2026,4338,2182811.00,1628963.44,34.0,true,SYNTHETIC-DEMO
SS-PROG-PA-2026-4339,PROG-PA,2026,4339,613280981.76,457672374.44,34.0,true,SYNTHETIC-DEMO
SS-PROG-PA-2026-4340,PROG-PA,2026,4340,371263575.88,277062370.08,34.0,true,SYNTHETIC-DEMO
SS-PROG-PA-2026-4341,PROG-PA,2026,4341,2230.20,1664.32,34.0,true,SYNTHETIC-DEMO
SS-PROG-PA-2026-4346,PROG-PA,2026,4346,618894.28,461861.40,34.0,true,SYNTHETIC-DEMO
SS-PROG-HM-2022-4332,PROG-HM,2022,4332,11528072.12,,,false,SYNTHETIC-DEMO
SS-PROG-HM-2022-4337,PROG-HM,2022,4337,9047841.98,,,false,SYNTHETIC-DEMO
SS-PROG-HM-2022-4339,PROG-HM,2022,4339,117993836.30,,,false,SYNTHETIC-DEMO
SS-PROG-HM-2022-4340,PROG-HM,2022,4340,71430249.60,,,false,SYNTHETIC-DEMO
SS-PROG-HM-2023-4332,PROG-HM,2023,4332,12911440.78,11528072.12,12.0,false,SYNTHETIC-DEMO
SS-PROG-HM-2023-4337,PROG-HM,2023,4337,10133583.02,9047841.98,12.0,false,SYNTHETIC-DEMO
SS-PROG-HM-2023-4339,PROG-HM,2023,4339,132153096.66,117993836.30,12.0,false,SYNTHETIC-DEMO
