sub_program_id,program_id,sub_program_name,data_watermark
SUB-PA-4332,PROG-PA,DR-4332 — Hurricane Harvey (TX),SYNTHETIC-DEMO
SUB-PA-4337,PROG-PA,DR-4337 — Hurricane Irma (FL),SYNTHETIC-DEMO
SUB-PA-4338,PROG-PA,DR-4338 — Hurricane Irma (GA),SYNTHETIC-DEMO
SUB-PA-4339,PROG-PA,DR-4339 — Hurricane Maria (PR),SYNTHETIC-DEMO
SUB-PA-4340,PROG-PA,DR-4340 — Hurricane Maria (VI),SYNTHETIC-DEMO
SUB-PA-4341,PROG-PA,DR-4341 — Hurricane Irma (Seminole Tribe),SYNTHETIC-DEMO
SUB-PA-4346,PROG-PA,DR-4346 — Hurricane Irma follow-on (SC),SYNTHETIC-DEMO
SUB-HM-ALL,PROG-HM,HMGP — direct (no sub-programs),SYNTHETIC-DEMO
SUB-IA-IHP,PROG-IA,Individuals and Households Program (IHP),SYNTHETIC-DEMO
SUB-IA-MC,PROG-IA,Mass Care,SYNTHETIC-DEMO
SUB-IA-DCM,PROG-IA,Disaster Case Management,SYNTHETIC-DEMO
SUB-HS-SHSP,PROG-HS,State Homeland Security Program (SHSP),SYNTHETIC-DEMO
SUB-HS-UASI,PROG-HS,Urban Area Security Initiative (UASI),SYNTHETIC-DEMO
SUB-HS-OPSG,PROG-HS,Operation Stonegarden,SYNTHETIC-DEMO
SUB-UR-ALL,PROG-UR,US&R — direct (no sub-programs),SYNTHETIC-DEMO
