txn_id,raw_code,code,disaster_number,is_disaster,fiscal_year,disbursement_amount,disbursement_type,disbursement_date,data_watermark
TXN-000001,LEG-0001,PA-97036-4332,4332,true,2022,3048269.28,Vendor / contract payment,2022-05-07,SYNTHETIC-DEMO
TXN-000002,PA-97036-4332,PA-97036-4332,4332,true,2022,5438743.50,Grant award payment,2021-10-13,SYNTHETIC-DEMO
TXN-000003,PA-60101-4332,PA-60101-4332,4332,true,2022,5002421.67,Interagency transfer,2022-01-11,SYNTHETIC-DEMO
TXN-000004,PA-60101-4332,PA-60101-4332,4332,true,2022,3484591.11,Grant award payment,2021-12-15,SYNTHETIC-DEMO
TXN-000005,PA-60102-4332,PA-60102-4332,4332,true,2022,3829819.64,Interagency transfer,2022-06-11,SYNTHETIC-DEMO
TXN-000006,PA-60102-4332,PA-60102-4332,4332,true,2022,4657193.14,Grant award payment,2022-03-12,SYNTHETIC-DEMO
TXN-000007,PA-60103-4332,PA-60103-4332,4332,true,2022,2943302.94,Grant award payment,2022-01-03,SYNTHETIC-DEMO
TXN-000008,PA-60103-4332,PA-60103-4332,4332,true,2022,5543709.84,Grant award payment,2022-02-17,SYNTHETIC-DEMO
TXN-000009,PA-97036-4337,PA-97036-4337,4337,true,2022,6661057.44,Vendor / contract payment,2022-09-12,SYNTHETIC-DEMO
TXN-000010,PA-60101-4337,PA-60101-4337,4337,true,2022,6661057.44,Vendor / contract payment,2022-07-29,SYNTHETIC-DEMO
TXN-000011,PA-60102-4337,PA-60102-4337,4337,true,2022,6661057.44,Grant award payment,2022-05-15,SYNTHETIC-DEMO
TXN-000012,PA-60103-4337,PA-60103-4337,4337,true,2022,6661057.44,Grant award payment,2022-03-31,SYNTHETIC-DEMO
TXN-000013,PA-97036-4338,PA-97036-4338,4338,true,2022,309181.95,Grant award payment,2022-01-21,SYNTHETIC-DEMO
TXN-000014,PA-60101-4338,PA-60101-4338,4338,true,2022,309181.95,Vendor / contract payment,2022-08-26,SYNTHETIC-DEMO
TXN-000015,PA-60102-4338,PA-60102-4338,4338,true,2022,309181.95,Grant award payment,2022-08-11,SYNTHETIC-DEMO
TXN-000016,PA-60103-4338,PA-60103-4338,4338,true,2022,309181.95,Vendor / contract payment,2022-08-07,SYNTHETIC-DEMO
TXN-000017,PA-97036-4339,PA-97036-4339,4339,true,2022,6665630.73,Interagency transfer,2021-11-27,SYNTHETIC-DEMO
TXN-000018,PA-97036-4339,PA-97036-4339,4339,true,2022,7063947.34,Grant award payment,2022-06-15,SYNTHETIC-DEMO
TXN-000019,PA-97036-4339,PA-97036-4339,4339,true,2022,7692380.37,Grant award payment,2022-07-25,SYNTHETIC-DEMO
TXN-000020,PA-97036-4339,PA-97036-4339,4339,true,2022,6743813.74,Vendor / contract payment,2022-08-17,SYNTHETIC-DEMO
TXN-000021,PA-97036-4339,PA-97036-4339,4339,true,2022,6764065.90,Grant award payment,2022-05-27,SYNTHETIC-DEMO
TXN-000022,PA-97036-4339,PA-97036-4339,4339,true,2022,9287048.29,Interagency transfer,2022-07-29,SYNTHETIC-DEMO
TXN-000023,PA-97036-4339,PA-97036-4339,4339,true,2022,6690268.17,Direct assistance payment,2022-09-20,SYNTHETIC-DEMO
TXN-000024,PA-97036-4339,PA-97036-4339,4339,true,2022,9346447.82,Vendor / contract payment,2022-03-29,SYNTHETIC-DEMO
TXN-000025,PA-97036-4339,PA-97036-4339,4339,true,2022,5905128.02,Grant award payment,2022-06-25,SYNTHETIC-DEMO
TXN-000026,PA-97036-4339,PA-97036-4339,4339,true,2022,6998201.43,Grant award payment,2022-09-26,SYNTHETIC-DEMO
TXN-000027,PA-97036-4339,PA-97036-4339,4339,true,2022,9680443.51,Grant award payment,2022-06-01,SYNTHETIC-DEMO
TXN-000028,PA-97036-4339,PA-97036-4339,4339,true,2022,4030158.68,Grant award payment,2022-07-11,SYNTHETIC-DEMO
TXN-000029,PA-60101-4339,PA-60101-4339,4339,true,2022,8373146.53,Interagency transfer,2022-03-21,SYNTHETIC-DEMO
TXN-000030,PA-60101-4339,PA-60101-4339,4339,true,2022,10903519.30,Direct assistance payment,2022-09-22,SYNTHETIC-DEMO
TXN-000031,PA-60101-4339,PA-60101-4339,4339,true,2022,7021009.40,Grant award payment,2022-05-23,SYNTHETIC-DEMO
TXN-000032,PA-60101-4339,PA-60101-4339,4339,true,2022,5261606.17,Grant award payment,2022-08-21,SYNTHETIC-DEMO
TXN-000033,pa-60101-4339,PA-60101-4339,4339,true,2022,7739842.75,Interagency transfer,2022-06-03,SYNTHETIC-DEMO
TXN-000034,PA-60101-4339,PA-60101-4339,4339,true,2022,5689393.50,Grant award payment,2021-10-15,SYNTHETIC-DEMO
TXN-000035,PA/60101/4339,PA-60101-4339,4339,true,2022,5566830.95,Grant award payment,2022-03-13,SYNTHETIC-DEMO
